i1,j1,fq,pval,fdr,bon,ibp,jbp,rawc
14,44,0.307160369244916,0.0,0.0,0.0,230870000,231020000,82.35797
14,45,0.246168261516774,0.0,0.0,0.0,230870000,231025000,79.10929
58,64,0.799955997938083,0.0,0.0,0.0,231090000,231120000,131.98251
58,66,0.562410682776356,0.0,0.0,0.0,231090000,231130000,105.29329
58,133,0.137884574933701,0.0,0.0,0.0,231090000,231465000,62.791737
58,134,0.120035931302743,0.0,0.0,0.0,231090000,231470000,59.537777
59,63,0.998734987871788,0.0,0.0,0.0,231095000,231115000,182.72691
59,64,0.998234034727511,0.0,0.0,0.0,231095000,231120000,160.02684
60,64,0.998623269616762,0.0,0.0,0.0,231100000,231120000,177.13689
61,65,0.99804368986906,0.0,0.0,0.0,231105000,231125000,153.24771
66,70,0.998461782724474,0.0,0.0,0.0,231130000,231150000,169.76843
71,75,0.998126386960075,0.0,0.0,0.0,231155000,231175000,155.46854
75,93,0.798371578792862,0.0,0.0,0.0,231175000,231265000,127.717476
78,82,0.998214974547793,0.0,0.0,0.0,231190000,231210000,159.97725
79,83,0.997907928596911,0.0,0.0,0.0,231195000,231215000,151.15929
82,86,0.998221752503769,0.0,0.0,0.0,231210000,231230000,160.00348
84,88,0.998008801875185,0.0,0.0,0.0,231220000,231240000,152.45175
84,92,0.572272051785449,0.0,0.0,0.0,231220000,231260000,117.48777
85,93,0.554944324204995,0.0,0.0,0.0,231225000,231265000,102.14905
86,91,0.998071602970379,0.0,0.0,0.0,231230000,231255000,153.33298
88,92,0.997890048221014,0.0,0.0,0.0,231240000,231260000,151.0572
89,93,0.998275033031325,0.0,0.0,0.0,231245000,231265000,160.68909
90,94,0.998041623538146,0.0,0.0,0.0,231250000,231270000,153.14177
95,133,0.144888449645789,0.0,0.0,0.0,231275000,231465000,65.27897
95,134,0.162970995002249,0.0,0.0,0.0,231275000,231470000,66.6145
95,135,0.160000796725908,0.0,0.0,0.0,231275000,231475000,65.63526
96,100,0.99999999999983,0.0,0.0,0.0,231280000,231300000,195.15924
96,131,0.168215579366437,0.0,0.0,0.0,231280000,231455000,68.92489
96,133,0.1661672491042,0.0,0.0,0.0,231280000,231465000,68.30941
96,134,0.165823256718792,0.0,0.0,0.0,231280000,231470000,68.0319
96,135,0.168287087736927,0.0,0.0,0.0,231280000,231475000,68.927475
97,134,0.162444787852036,0.0,0.0,0.0,231285000,231470000,66.094734
97,135,0.140571191993061,0.0,0.0,0.0,231285000,231475000,63.932476
98,102,0.998345365507844,0.0,0.0,0.0,231290000,231310000,164.44838
99,133,0.169043757550468,0.0,0.0,0.0,231295000,231465000,69.08987
99,134,0.245247512402251,0.0,0.0,0.0,231295000,231470000,78.35747
100,133,0.166668252256796,0.0,0.0,0.0,231300000,231465000,68.641815
100,134,0.166792788740335,0.0,0.0,0.0,231300000,231470000,68.68066
101,130,0.197776330504661,0.0,0.0,0.0,231305000,231450000,72.018074
101,132,0.241833569340799,0.0,0.0,0.0,231305000,231460000,76.846725
101,133,0.201339693762772,0.0,0.0,0.0,231305000,231465000,74.14757
101,134,0.163325731161475,0.0,0.0,0.0,231305000,231470000,66.905464
101,135,0.16449240023229,0.0,0.0,0.0,231305000,231475000,67.50019
102,130,0.200511213959368,0.0,0.0,0.0,231310000,231450000,73.66473
102,131,0.200874532866716,0.0,0.0,0.0,231310000,231455000,73.80087
102,133,0.314287170237044,0.0,0.0,0.0,231310000,231465000,87.66597
102,134,0.309955686019626,0.0,0.0,0.0,231310000,231470000,84.662125
102,135,0.195693319120255,0.0,0.0,0.0,231310000,231475000,70.73405
103,107,0.998196318652586,0.0,0.0,0.0,231315000,231335000,158.47466
103,128,0.196991923493605,0.0,0.0,0.0,231315000,231440000,71.29773
103,129,0.190864865670165,0.0,0.0,0.0,231315000,231445000,69.65802
103,130,0.2442822467212,0.0,0.0,0.0,231315000,231450000,77.87045
103,133,0.246710111394337,0.0,0.0,0.0,231315000,231465000,79.36317
103,134,0.197451660234622,0.0,0.0,0.0,231315000,231470000,71.67254
104,108,0.997880022610844,0.0,0.0,0.0,231320000,231340000,150.96434
104,133,0.196919335701877,0.0,0.0,0.0,231320000,231465000,71.2269
105,109,0.998214012781756,0.0,0.0,0.0,231325000,231345000,159.52908
105,134,0.198584121112715,0.0,0.0,0.0,231325000,231470000,72.86837
106,112,0.799127973292106,0.0,0.0,0.0,231330000,231360000,129.05075
106,133,0.194168728022217,0.0,0.0,0.0,231330000,231465000,70.04366
